#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) Seismic_moment_Mo Magnitude_Mw Strike_A Dip_A Rake_A Strike_B Dip_B Rake_B Slip_trend_A Slip_plunge_A Slip_trend_B Slip_plunge_B Trend_P Plunge_P Trend_B Plunge_B Trend_T Plunge_T fclvd Isotropic Iso_ratio u_Hudson v_Hudson X_Kaverina Y_Kaverina ID rupture_type
-66.79 18.02 12.0 -3.19 3.42 -0.235 -0.707 -1.5 2.35 19.0 4.38591e+19 2.4 266.941 40.5158 -54.4899 43.7548 58.0735 -116.398 313.755 -31.9265 176.941 -49.4842 263.903 65.7136 58.4628 22.1697 152.338 9.41718 0.200671 -1.66667e+16 -0.000380005 -0.400645 -0.00034837 -0.551556 -0.136432 202001070824A N-SS
139.3 -2.71 48.8 0.906 -1.32 0.418 -0.613 0.541 -0.477 19.0 1.50498e+19 2.1 44.2951 44.759 37.0744 286.08 64.882 128.35 16.0803 25.118 134.295 45.241 349.467 11.6506 87.5163 34.1796 243.381 53.3459 0.0461623 1.33333e+16 0.000885949 0.0905899 0.00086735 0.435039 0.0499483 202001181638A R-SS
96.27 2.21 12.0 1.22 -0.808 -0.416 2.61 -2.79 0.63 19.0 4.01874e+19 2.3 296.133 9.47119 69.9976 136.39 81.1049 93.266 226.39 8.89508 26.1333 80.5288 223.535 36.0245 315.884 3.22667 50.2995 53.7849 0.00193773 -1.33333e+16 -0.000331779 0.00453805 -0.000331293 0.161302 -0.546127 202001070605A R
141.66 37.62 43.2 2.85 -0.404 -2.45 1.2 3.1 -1.17 19.0 4.42301e+19 2.4 207.139 20.6915 94.8777 21.9272 69.3868 88.1605 111.927 20.6132 297.139 69.3085 113.355 24.3654 22.575 1.72165 288.782 65.5659 0.0270906 -1.33333e+16 -0.000301454 0.0547757 -0.000297322 0.373057 -0.546331 201908041023A R
-114.17 -50.03 12.0 -0.041 0.397 -0.356 -0.013 0.033 0.968 19.0 1.03985e+19 1.9 100.61 88.2776 -1.14047 190.644 88.86 -178.277 100.644 -1.13996 10.61 -1.72236 55.6344 2.02415 224.128 87.9344 325.62 0.411692 0.0376084 0.0 0.0 -0.0752168 7.40149e-17 -0.0222324 0.892454 201908020550A SS
167.85 -16.28 187.8 0.205 0.331 -0.536 -0.719 -0.338 0.612 20.0 1.10688e+20 2.6 190.585 62.5552 153.605 293.469 66.7634 30.1046 23.4688 23.2366 280.585 27.4448 61.2321 2.68967 327.703 52.6493 153.277 37.2198 0.317196 -1365.33 -1.23349e-17 -0.634392 0.0 0.411854 0.399784 201907311502A SS-R
104.85 -7.4 51.9 2.11 -0.947 -1.17 0.881 -0.261 -1.76 20.0 2.702e+20 2.9 200.222 45.3192 54.8686 65.2412 54.4433 120.195 155.241 35.5567 290.222 44.6808 134.328 4.93457 226.546 24.1526 33.516 65.2846 0.117666 -2.33333e+17 -0.000863559 0.236965 -0.000816518 0.611208 -0.0755547 201908021203A R-SS
128.13 -0.72 12.0 -0.72 7.35 -6.64 0.59 0.58 2.83 20.0 7.61634e+20 3.2 124.029 83.9204 0.367469 33.9906 89.6346 173.92 123.991 0.365402 214.029 6.07962 79.1709 4.03584 210.564 83.9093 348.849 4.55405 0.0933588 -3.33333e+17 -0.000437655 -0.18588 -0.000418985 0.00699894 0.823904 201907140910A SS
167.38 -15.46 110.7 0.901 -0.783 -0.118 0.631 -0.447 -1.03 19.0 1.54217e+19 2.1 201.282 51.4303 36.6687 86.3814 62.166 135.168 176.381 27.834 291.282 38.5697 146.079 6.35574 241.224 38.8382 48.3287 50.445 0.0237682 0.0 0.0 0.0475365 -3.70074e-17 0.482722 0.157236 201907011713A R-SS
169.61 -21.65 30.6 3.56 -0.89 -2.67 0.458 -2.04 1.96 19.0 4.30236e+19 2.4 316.113 32.1336 71.6808 157.468 59.6727 101.168 247.468 30.3273 46.1134 57.8664 239.354 13.9892 331.775 9.6239 95.241 72.9074 0.0565748 0.0 0.0 0.11315 2.59052e-16 0.534045 -0.372718 201905191456A R
155.19 -4.66 493.1 -1.11 1.16 -0.054 0.386 -0.21 0.303 19.0 1.25507e+19 2.0 62.1176 39.0604 -113.148 270.955 54.5912 -72.3061 180.955 -35.4088 332.118 -50.9396 230.08 73.4876 80.4823 14.3424 348.42 8.01045 0.0394177 -1.33333e+16 -0.00106235 -0.0767481 -0.00104368 -0.614685 -0.261024 201907111708A N
-27.06 -56.35 82.5 -0.142 0.709 -0.567 -0.365 -0.56 0.901 19.0 1.29645e+19 2.0 288.96 59.6716 0.4092 198.753 89.6468 149.671 288.753 0.353198 18.9599 30.3284 248.042 20.6525 18.1495 59.6691 149.641 21.1872 0.173389 0.0 0.0 -0.346778 2.59052e-16 0.00630698 0.422755 201904221449A SS-R
169.61 -21.67 30.9 1.21 -0.072 -1.14 -0.063 -0.909 0.593 19.0 1.60198e+19 2.1 318.502 31.6087 60.3002 172.314 62.918 106.957 262.314 27.082 48.5016 58.3913 249.907 16.2772 344.411 15.0508 114.98 67.5369 0.0462711 -6666670000000000.0 -0.000416152 0.0933555 -0.000406618 0.473965 -0.291162 201905191427A R
